title,price,rating,reviews,discount,brand,product_url
"Samsung Galaxy A05 (Light Green, 6GB, 128GB Storage) | 50 MP Main Camera | Upto 12GB RAM with RAM Plus | MediaTek Helio G85 | 5000 mAh Battery",13999.0,4.0,837,7.0,Samsung,https://www.amazon.in/Samsung-Galaxy-Storage-MediaTek-Battery/dp/B0CJ2DVN1Q/ref=sr_1_40
"Redmi A3 (Lake Blue, 6GB RAM, 128GB Storage) | Premium Halo Design | 90Hz Display | Powerful 4G G36 Processor",9499.0,4.2,47,21.0,Redmi,https://www.amazon.in/Redmi-Storage-Premium-Powerful-Processor/dp/B0CV3F5TQ8/ref=sr_1_42
"ZENO 5G AI Smartphone | 8GB RAM 128GB ROM | IP54 Rated for Dust & Water Resistance | D6300 5G Processor | 6.7"" HD+ 120Hz Punch-Hole Display | 50MP Camera | 5-Year Fluency | Wave Green",9999.0,3.5,85,23.0,Itel,https://www.amazon.in/Smartphone-Resistance-Processor-Punch-Hole-Display/dp/B0F226X5LW/ref=sr_1_34
"Poco C55 (Cool Blue, 6GB RAM, 128GB Storage)",9999.0,4.1,4209,29.0,Brand: POCO,https://www.amazon.in/POCO-C55-Cool-Blue-128/dp/B0BX9WNP7W/ref=sr_1_52
"iQOO Z10 Lite 5G (Titanium Blue, 6GB RAM, 128GB Storage) | 6000 mAh Battery | Dimensity 6300 5G Processor with 433K+* AnTuTu Score | IP64 Rated & Military Grade Shock-Resistance*",12998.0,4.1,5772,13.0,iQOO,https://www.amazon.in/iQOO-Dimensity-Processor-Military-Shock-Resistance/dp/B0FC5XK9WZ/ref=sr_1_30
"Redmi Note 8 (Neptune Blue, 4GB RAM, 64GB Storage) | Snapdragon 665 Processor | 48 MP Quad Camera",10999.0,4.2,61210,,Redmi,https://www.amazon.in/Redmi-Note-Neptune-Blue-Storage/dp/B07X1KT6LD/ref=sr_1_23
"acer Super ZX 5G (Carbon Black, 6GB RAM, 128GB) | Segment-First FHD+ 6.8” 120Hz Display | Sony 64MP AI Triple Camera | 5000 mAh Long Lasting Battery",10198.0,3.5,1060,49.0,acer,https://www.amazon.in/Carbon-Segment-First-Display-Lasting-Battery/dp/B0F4DG9ZH5/ref=sr_1_35
REDMI 15C 5G Dusk Purple 4GB + 128GB | Royale Design | Massive 6000mAh Battery | Segment's Largest 17.53cm Display Up to 120Hz | MediaTek Dimensity 6300 | 33W Fast Charging | 50MP AI Dual Camera,12499.0,4.2,263,17.0,Redmi,https://www.amazon.in/Massive-Segments-MediaTek-Dimensity-Charging/dp/B0G2B1S4YL/ref=sr_1_45
"itel Zeno 20 Max | AI Vana 2.0 | 4GB RAM 128GB ROM | 6.6"" HD+ 90Hz Display | 13MP AI Camera | IP54 Rated | Always-On Display | Dynamic Bar | DTS Sound | 5000mAh Battery |3-Year Fluency|Aurora Blue",6829.0,3.9,26,29.0,Itel,https://www.amazon.in/Display-Always-Dynamic-5000mAh-Battery/dp/B0FJRGNJ34/ref=sr_1_31
"Samsung Galaxy M06 5G Mobile (Sage Green, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6300 | AnTuTu 623K+ | 12 5G Bands | 25W Fast Charging | 4 Gen OS Upgrades | 50MP Camera | Without Charger",10999.0,4.0,6451,21.0,Samsung,https://www.amazon.in/Samsung-MediaTek-Dimensity-Charging-Upgrades/dp/B0DX6P3RX9/ref=sr_1_10
